size,count,normal
3,25,the united states
3,12,moms for liberty
3,10,the republican party
3,8,the civil war
3,6,as well as
3,5,of the united
3,5,united states of
3,5,to use the
3,5,in the united
3,5,the department of
3,5,the idea that
3,5,the white house
3,5,a number of
3,5,people of color
3,5,the federal government
3,5,one of the
3,5,the black sea
3,5,to the us
3,5,the far right
3,5,pacific islands forum
3,4,the anniversary of
3,4,in the country's
3,4,the idea of
3,4,to overturn the
3,4,the 2020 election
3,4,use the military
3,4,talking points memo
3,4,department of justice
3,4,the house of
3,4,house of representatives
3,4,the former president
3,4,the government to
3,4,in the past
3,4,to believe that
3,4,in the house
3,4,in order to
3,4,to destroy the
3,4,made up of
3,4,to the constitution
3,4,the right wing
3,4,in the us
3,4,the debt ceiling
3,4,the fourteenth amendment
3,4,the cause of
3,4,cause of the
3,4,that the government
3,4,leaders of the
3,4,the pacific islands
3,3,of world war
3,3,of the war
3,3,known as the
3,3,because of the
3,3,the american people
3,3,of the world
3,3,the results of
3,3,results of the
3,3,rules based international
3,3,based international order
3,3,an attack on
3,3,in the years
3,3,former president trump
3,3,part of the
3,3,appears to be
3,3,the military to
3,3,the same time
3,3,noted that the
3,3,the washington post
3,3,ku klux klan
3,3,showing that the
3,3,that the us
3,3,the union armies
3,3,the army of
3,3,army of the
3,3,of the potomac
3,3,the us navy
3,3,that they were
3,3,it was the
3,3,to win the
3,3,a majority of
3,3,a group of
3,3,social safety net
3,3,after the civil
3,3,the republican base
3,3,who want to
3,3,the party has
3,3,pm ∙ jan
3,3,and the us
3,3,right of conscience
3,3,the free exercise
3,3,that they are
3,3,prime minister viktor
3,3,minister viktor orban
3,3,two thirds of
3,3,the rise of
3,3,franklin delano roosevelt
3,3,over the next
3,3,born in the
3,3,trump's attack on
3,3,the rights of
3,3,the concept of
3,3,declared war on
3,3,states of america
3,3,people like doris
3,3,like doris miller
3,3,of the civil
3,3,of the republican
3,3,the government must
3,3,those at the
3,3,the leaders of
3,3,debt ceiling crisis
3,2,the end of
3,2,once and for
3,2,and for all
3,2,of the eleventh
3,2,the great war
3,2,40 million people
3,2,anniversary of the
3,2,of those who
3,2,from which it
3,2,under the leadership
3,2,the leadership of
3,2,to permit the
3,2,for countries to
3,2,on november 10
3,2,november 10 1923
3,2,that it was
3,2,part in the
3,2,a return to
3,2,war even more
3,2,world war ii
3,2,a rules based
3,2,the united nations
3,2,the north atlantic
3,2,north atlantic treaty
3,2,atlantic treaty organization
3,2,treaty organization nato
3,2,the years since
3,2,the us and
3,2,and other countries
3,2,that is currently
3,2,the right to
3,2,world war i
3,2,commander of the
3,2,to disenfranchise voters
3,2,and attempting to
3,2,to obstruct an
3,2,obstruct an official
3,2,an official proceeding
3,2,overturn the results
3,2,of the 2020
3,2,called out the
3,2,co conspirator 4
3,2,the insurrection act
3,2,strong enough that
3,2,a washington post
3,2,washington post op
3,2,post op ed
3,2,president and his
3,2,on january 6
3,2,attack on the
3,2,called for a
3,2,co conspirator 6
3,2,trump's first amendment
3,2,first amendment rights
3,2,the first amendment
3,2,had a right
3,2,idea that the
3,2,is an attack
3,2,he can even
3,2,election was stolen
3,2,the attempt to
3,2,the new york
3,2,tax cuts and
3,2,treasury secretary janet
3,2,the fact that
3,2,to downgrade the
3,2,for the wealthy
3,2,the wealthy and
3,2,minority leader hakeem
3,2,leader hakeem jeffries
3,2,he wrote but
3,2,kevin mccarthy r-ca
3,2,the rules of
3,2,of the house
3,2,the house in
3,2,his willingness to
3,2,to break with
3,2,for the country
3,2,on the record
3,2,in exchange for
3,2,in 2020 and
3,2,of the state
3,2,is not a
3,2,the bureau of
3,2,bureau of labor
3,2,of labor statistics
3,2,the us economy
3,2,us economy added
3,2,over the past
3,2,more than the
3,2,concentrating wealth upward
3,2,and appears to
3,2,the transition to
3,2,transition to evs
3,2,said it would
3,2,it would be
3,2,it is also
3,2,is also the
3,2,battle of mobile
3,2,of mobile bay
3,2,the battle of
3,2,all the union
3,2,win the war
3,2,set out to
3,2,to move against
3,2,move against mobile
3,2,farragut ordered the
3,2,to pass the
3,2,as the ships
3,2,take over the
3,2,damn the torpedoes
3,2,appears to have
3,2,but it seems
3,2,new laws that
3,2,come together to
3,2,majority of the
3,2,as a group
3,2,20 far right
3,2,far right republicans
3,2,former speaker nancy
3,2,speaker nancy pelosi
3,2,him a kiss
3,2,can't  even
3,2,weren't  in
3,2, in the
3,2,in the majority
3,2,the majority on
3,2,because that was
3,2,that was the
3,2,was the day
3,2,the day you
3,2,day you had
3,2,you had to
3,2,had to be
3,2,to be organized
3,2,be organized to
3,2,organized to stave
3,2,to stave off
3,2,stave off what
3,2,off what was
3,2,what was happening
3,2,the election of
3,2,of talking points
3,2,ran the house
3,2,the new deal
3,2,the destruction of
3,2,a basic social
3,2,basic social safety
3,2,the logical outcome
3,2,logical outcome of
3,2,the big lie
3,2,electors from a
3,2,from a number
3,2,number of states
3,2,in 2021 to
3,2,the effort to
3,2,their support for
3,2,support for the
3,2,cost tax dollars
3,2,a form of
3,2,form of socialism
3,2,or people of
3,2,many of his
3,2,out the middle
3,2,the middle class
3,2,it is the
3,2,republicans who want
3,2,that it is
3,2,at the same
3,2,away from the
3,2,president joe biden
3,2,for two years
3,2,are not the
3,2,∙ jan 3
3,2,jan 3 2023
3,2,that in the
3,2,the next day
3,2,russian president vladimir
3,2,to attend the
3,2,would dominate the
3,2,the global economy
3,2,at the time
3,2,in the war
3,2,attend the summit
3,2,putin announced that
3,2,tons of grain
3,2,ukraine president volodymyr
3,2,president volodymyr zelensky
3,2,that he was
3,2,black sea grain
3,2,on the black
3,2,to the world
3,2,so long as
3,2,to the united
3,2,and that the
3,2,is trying to
3,2,to indicate that
3,2,the so called
3,2,in part because
3,2,nonpartisan congressional budget
3,2,congressional budget office
3,2,$14.3 billion in
3,2,cuts to the
3,2,more than they
3,2,separation of church
3,2,of church and
3,2,church and state
3,2,had come to
3,2,all men are
3,2,the right of
3,2,in charge of
3,2,that a variety
3,2,a variety of
3,2,envisioned a new
3,2,a new political
3,2,in the multiplicity
3,2,the multiplicity of
3,2,amendment to the
3,2,make no law
3,2,no law respecting
3,2,law respecting an
3,2,respecting an establishment
3,2,an establishment of
3,2,establishment of religion
3,2,of religion or
3,2,religion or prohibiting
3,2,or prohibiting the
3,2,prohibiting the free
