id,datetime,original_location,township_name,township_id,age,race,sex,officer_id_hash,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_frisk,reason_for_search,reason_for_stop
12660649,2011-01-01T17:07Z,"RALEIGH, Wake County",RALEIGH,1,24,white,male,83996705d6,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Other Motor Vehicle Violation
12660650,2011-01-01T17:10Z,"RALEIGH, Wake County",RALEIGH,1,66,black,male,308db09faf,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Investigation
12660651,2011-01-01T17:12Z,"RALEIGH, Wake County",RALEIGH,1,27,white,male,4bf3f901dc,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation
12660652,2011-01-01T17:33Z,"RALEIGH, Wake County",RALEIGH,1,25,white,male,568a432306,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation
12660653,2011-01-01T17:32Z,"RALEIGH, Wake County",RALEIGH,1,22,white,male,b152422867,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Stop Light/Sign Violation
12660654,2011-01-01T17:44Z,"RALEIGH, Wake County",RALEIGH,1,25,black,female,40428942e4,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Investigation
12660655,2011-01-01T17:45Z,"RALEIGH, Wake County",RALEIGH,1,35,unknown,male,d61940ed57,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation
12660656,2011-01-01T18:05Z,"RALEIGH, Wake County",RALEIGH,1,42,white,male,83996705d6,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Other Motor Vehicle Violation
12660657,2011-01-01T18:05Z,"RALEIGH, Wake County",RALEIGH,1,20,white,female,f4fdd1de49,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation
12660658,2011-01-01T17:47Z,"RALEIGH, Wake County",RALEIGH,1,23,black,female,8c764d534f,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation
12660659,2011-01-01T18:10Z,"RALEIGH, Wake County",RALEIGH,1,61,black,male,83996705d6,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Other Motor Vehicle Violation
12660660,2011-01-01T18:11Z,"RALEIGH, Wake County",RALEIGH,1,25,black,female,087a988107,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation
12660661,2011-01-01T17:58Z,"RALEIGH, Wake County",RALEIGH,1,34,white,male,4177835ade,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation
